_id,ANO,CODIGO_LOCALIDAD,NOMBRE_LOCALIDAD,SEXO,EDAD,CURSODEVIDA,GRUPOEDAD,POBLACION
1,2005,0,Bogotá,Hombres,6,Infancia,00 a 11,67184
2,2005,0,Bogotá,Hombres,7,Infancia,00 a 11,68940
3,2005,0,Bogotá,Hombres,8,Infancia,00 a 11,70568
4,2005,0,Bogotá,Hombres,9,Infancia,00 a 11,71189
5,2005,0,Bogotá,Hombres,10,Infancia,00 a 11,70398
6,2005,0,Bogotá,Hombres,11,Infancia,00 a 11,68703
7,2005,1,Usaquén,Hombres,6,Infancia,00 a 11,3309
8,2005,1,Usaquén,Hombres,7,Infancia,00 a 11,3493
9,2005,1,Usaquén,Hombres,8,Infancia,00 a 11,3619
10,2005,1,Usaquén,Hombres,9,Infancia,00 a 11,3503
11,2005,1,Usaquén,Hombres,10,Infancia,00 a 11,3617
12,2005,1,Usaquén,Hombres,11,Infancia,00 a 11,3392
13,2005,2,Chapinero,Hombres,6,Infancia,00 a 11,616
14,2005,2,Chapinero,Hombres,7,Infancia,00 a 11,732
15,2005,2,Chapinero,Hombres,8,Infancia,00 a 11,750
16,2005,2,Chapinero,Hombres,9,Infancia,00 a 11,725
17,2005,2,Chapinero,Hombres,10,Infancia,00 a 11,710
18,2005,2,Chapinero,Hombres,11,Infancia,00 a 11,705
19,2005,3,Santa Fe,Hombres,6,Infancia,00 a 11,936
20,2005,3,Santa Fe,Hombres,7,Infancia,00 a 11,1006
21,2005,3,Santa Fe,Hombres,8,Infancia,00 a 11,1001
22,2005,3,Santa Fe,Hombres,9,Infancia,00 a 11,963
23,2005,3,Santa Fe,Hombres,10,Infancia,00 a 11,1013
24,2005,3,Santa Fe,Hombres,11,Infancia,00 a 11,985
25,2005,4,San Cristóbal,Hombres,6,Infancia,00 a 11,4450
26,2005,4,San Cristóbal,Hombres,7,Infancia,00 a 11,4641
27,2005,4,San Cristóbal,Hombres,8,Infancia,00 a 11,4695
28,2005,4,San Cristóbal,Hombres,9,Infancia,00 a 11,4752
29,2005,4,San Cristóbal,Hombres,10,Infancia,00 a 11,4939
30,2005,4,San Cristóbal,Hombres,11,Infancia,00 a 11,4573
31,2005,5,Usme,Hombres,6,Infancia,00 a 11,3698
32,2005,5,Usme,Hombres,7,Infancia,00 a 11,3825
33,2005,5,Usme,Hombres,8,Infancia,00 a 11,3826
34,2005,5,Usme,Hombres,9,Infancia,00 a 11,3972
35,2005,5,Usme,Hombres,10,Infancia,00 a 11,3990
36,2005,5,Usme,Hombres,11,Infancia,00 a 11,3770
37,2005,6,Tunjuelito,Hombres,6,Infancia,00 a 11,1891
38,2005,6,Tunjuelito,Hombres,7,Infancia,00 a 11,1856
39,2005,6,Tunjuelito,Hombres,8,Infancia,00 a 11,1971
40,2005,6,Tunjuelito,Hombres,9,Infancia,00 a 11,2046
41,2005,6,Tunjuelito,Hombres,10,Infancia,00 a 11,1944
42,2005,6,Tunjuelito,Hombres,11,Infancia,00 a 11,1920
43,2005,7,Bosa,Hombres,6,Infancia,00 a 11,6124
44,2005,7,Bosa,Hombres,7,Infancia,00 a 11,6027
45,2005,7,Bosa,Hombres,8,Infancia,00 a 11,6320
46,2005,7,Bosa,Hombres,9,Infancia,00 a 11,6429
47,2005,7,Bosa,Hombres,10,Infancia,00 a 11,6018
48,2005,7,Bosa,Hombres,11,Infancia,00 a 11,6033
49,2005,8,Kennedy,Hombres,6,Infancia,00 a 11,9466
50,2005,8,Kennedy,Hombres,7,Infancia,00 a 11,9852
51,2005,8,Kennedy,Hombres,8,Infancia,00 a 11,10292
52,2005,8,Kennedy,Hombres,9,Infancia,00 a 11,10165
53,2005,8,Kennedy,Hombres,10,Infancia,00 a 11,9909
54,2005,8,Kennedy,Hombres,11,Infancia,00 a 11,9895
55,2005,9,Fontibón,Hombres,6,Infancia,00 a 11,2721
56,2005,9,Fontibón,Hombres,7,Infancia,00 a 11,2859
57,2005,9,Fontibón,Hombres,8,Infancia,00 a 11,2953
58,2005,9,Fontibón,Hombres,9,Infancia,00 a 11,3040
59,2005,9,Fontibón,Hombres,10,Infancia,00 a 11,2930
60,2005,9,Fontibón,Hombres,11,Infancia,00 a 11,2872
61,2005,10,Engativá,Hombres,6,Infancia,00 a 11,7354
62,2005,10,Engativá,Hombres,7,Infancia,00 a 11,7303
63,2005,10,Engativá,Hombres,8,Infancia,00 a 11,7646
64,2005,10,Engativá,Hombres,9,Infancia,00 a 11,7667
65,2005,10,Engativá,Hombres,10,Infancia,00 a 11,7535
66,2005,10,Engativá,Hombres,11,Infancia,00 a 11,7453
67,2005,11,Suba,Hombres,6,Infancia,00 a 11,8841
68,2005,11,Suba,Hombres,7,Infancia,00 a 11,9207
69,2005,11,Suba,Hombres,8,Infancia,00 a 11,9184
70,2005,11,Suba,Hombres,9,Infancia,00 a 11,9294
71,2005,11,Suba,Hombres,10,Infancia,00 a 11,9337
72,2005,11,Suba,Hombres,11,Infancia,00 a 11,9017
73,2005,12,Barrios Unidos,Hombres,6,Infancia,00 a 11,1963
74,2005,12,Barrios Unidos,Hombres,7,Infancia,00 a 11,1750
75,2005,12,Barrios Unidos,Hombres,8,Infancia,00 a 11,1648
76,2005,12,Barrios Unidos,Hombres,9,Infancia,00 a 11,1718
77,2005,12,Barrios Unidos,Hombres,10,Infancia,00 a 11,1819
78,2005,12,Barrios Unidos,Hombres,11,Infancia,00 a 11,1682
79,2005,13,Teusaquillo,Hombres,6,Infancia,00 a 11,783
80,2005,13,Teusaquillo,Hombres,7,Infancia,00 a 11,807
81,2005,13,Teusaquillo,Hombres,8,Infancia,00 a 11,818
82,2005,13,Teusaquillo,Hombres,9,Infancia,00 a 11,881
83,2005,13,Teusaquillo,Hombres,10,Infancia,00 a 11,835
84,2005,13,Teusaquillo,Hombres,11,Infancia,00 a 11,856
85,2005,14,Los Mártires,Hombres,6,Infancia,00 a 11,774
86,2005,14,Los Mártires,Hombres,7,Infancia,00 a 11,778
87,2005,14,Los Mártires,Hombres,8,Infancia,00 a 11,802
88,2005,14,Los Mártires,Hombres,9,Infancia,00 a 11,781
89,2005,14,Los Mártires,Hombres,10,Infancia,00 a 11,841
90,2005,14,Los Mártires,Hombres,11,Infancia,00 a 11,896
91,2005,15,Antonio Nariño,Hombres,6,Infancia,00 a 11,1041
92,2005,15,Antonio Nariño,Hombres,7,Infancia,00 a 11,1083
93,2005,15,Antonio Nariño,Hombres,8,Infancia,00 a 11,1142
94,2005,15,Antonio Nariño,Hombres,9,Infancia,00 a 11,1120
95,2005,15,Antonio Nariño,Hombres,10,Infancia,00 a 11,1127
96,2005,15,Antonio Nariño,Hombres,11,Infancia,00 a 11,1114
97,2005,16,Puente Aranda,Hombres,6,Infancia,00 a 11,2039
98,2005,16,Puente Aranda,Hombres,7,Infancia,00 a 11,2222
99,2005,16,Puente Aranda,Hombres,8,Infancia,00 a 11,2139
100,2005,16,Puente Aranda,Hombres,9,Infancia,00 a 11,2266
101,2005,16,Puente Aranda,Hombres,10,Infancia,00 a 11,2220
102,2005,16,Puente Aranda,Hombres,11,Infancia,00 a 11,2250
103,2005,17,La Candelaria,Hombres,6,Infancia,00 a 11,193
104,2005,17,La Candelaria,Hombres,7,Infancia,00 a 11,150
105,2005,17,La Candelaria,Hombres,8,Infancia,00 a 11,170
106,2005,17,La Candelaria,Hombres,9,Infancia,00 a 11,169
107,2005,17,La Candelaria,Hombres,10,Infancia,00 a 11,176
108,2005,17,La Candelaria,Hombres,11,Infancia,00 a 11,151
109,2005,18,Rafael Uribe Uribe,Hombres,6,Infancia,00 a 11,3808
110,2005,18,Rafael Uribe Uribe,Hombres,7,Infancia,00 a 11,4083
111,2005,18,Rafael Uribe Uribe,Hombres,8,Infancia,00 a 11,4228
112,2005,18,Rafael Uribe Uribe,Hombres,9,Infancia,00 a 11,4160
113,2005,18,Rafael Uribe Uribe,Hombres,10,Infancia,00 a 11,4082
114,2005,18,Rafael Uribe Uribe,Hombres,11,Infancia,00 a 11,3976
115,2005,19,Ciudad Bolívar,Hombres,6,Infancia,00 a 11,7082
116,2005,19,Ciudad Bolívar,Hombres,7,Infancia,00 a 11,7197
117,2005,19,Ciudad Bolívar,Hombres,8,Infancia,00 a 11,7278
118,2005,19,Ciudad Bolívar,Hombres,9,Infancia,00 a 11,7431
119,2005,19,Ciudad Bolívar,Hombres,10,Infancia,00 a 11,7264
120,2005,19,Ciudad Bolívar,Hombres,11,Infancia,00 a 11,7085
